epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,32596.7,0.58482,0.4461,1.09206,0.82611,0.83138,0.84926,0.65432,1.02672,0.70293,1.41072,0.000829431,0.000829431,0.000829431
68,33083.8,0.5804,0.4386,1.08723,0.82939,0.82388,0.84951,0.65402,1.0277,0.70369,1.41285,0.000731145,0.000731145,0.000731145
69,33571,0.57884,0.43562,1.08275,0.82318,0.8339,0.84958,0.65443,1.02775,0.70537,1.41406,0.000639518,0.000639518,0.000639518
70,34057.6,0.57211,0.43091,1.08196,0.82356,0.83223,0.84917,0.65479,1.0276,0.70552,1.41481,0.000554691,0.000554691,0.000554691
71,34563.9,0.59661,0.36142,1.12527,0.82817,0.82906,0.84964,0.65379,1.03023,0.70764,1.41758,0.000476796,0.000476796,0.000476796
72,35048.3,0.57422,0.34211,1.10843,0.82509,0.83235,0.84831,0.6543,1.03302,0.7084,1.41979,0.000405953,0.000405953,0.000405953
73,35532.5,0.56961,0.33643,1.10263,0.82258,0.83399,0.84698,0.65316,1.03492,0.71057,1.42088,0.00034227,0.00034227,0.00034227
74,36016.9,0.56322,0.33302,1.09622,0.82204,0.82922,0.84614,0.65205,1.03637,0.71153,1.42251,0.000285847,0.000285847,0.000285847
75,36500.4,0.55544,0.32665,1.09325,0.82081,0.83457,0.8455,0.65247,1.03732,0.71174,1.42355,0.000236769,0.000236769,0.000236769
76,37037.8,0.55494,0.32429,1.09257,0.82039,0.83338,0.84548,0.65242,1.03815,0.71146,1.42424,0.000195113,0.000195113,0.000195113
77,37614.6,0.55064,0.32174,1.0896,0.82024,0.83513,0.84605,0.65191,1.03929,0.712,1.42518,0.000160943,0.000160943,0.000160943
78,38191.8,0.55255,0.32717,1.09513,0.82437,0.83083,0.84557,0.65082,1.04068,0.71215,1.42702,0.000134311,0.000134311,0.000134311
79,38769.9,0.55112,0.32449,1.08859,0.82506,0.83056,0.84515,0.65037,1.0423,0.71279,1.42856,0.000115259,0.000115259,0.000115259
80,39347.6,0.55101,0.32105,1.0885,0.8252,0.83131,0.84495,0.64997,1.04395,0.71376,1.43046,0.000103816,0.000103816,0.000103816
